nvme.nvme_cfg_top.nvme_cfg_npi.nrp.nrp_wdma_credits3,0x2021b4006c
nvme.nvme_cfg_top.nvme_cfg_npi.nrp.nrp_wdma_credits4,0x2021b40070
nvme.nvme_cfg_top.nvme_cfg_npi.nrp.nrp_rddma_credits0,0x2021b40080
nvme.nvme_cfg_top.nvme_cfg_npi.nrp.nrp_rddma_credits1,0x2021b40084
nvme.nvme_cfg_top.nvme_cfg_npi.nrp.nrp_rddma_credits2,0x2021b40088
nvme.nvme_cfg_top.nvme_cfg_npi.nrp.nrp_rddma_credits3,0x2021b4008c
nvme.nvme_cfg_top.nvme_cfg_npi.nrp.nrp_rddma_credits4,0x2021b40090
fxp.reg_mem.pmc.pmc_regs.pmc_rx_pass_credit,0x2029378b38
fxp.reg_mem.pmc.pmc_regs.pmc_tx_pass_credit,0x2029378b40
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_per_path0,0x20293c40a0
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_per_path1,0x20293c40a8
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_per_path2,0x20293c40b0
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_per_path3,0x20293c40b8
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_per_path0,0x20293c40c0
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_per_path1,0x20293c40c8
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_per_path2,0x20293c40d0
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path0,0x20293c40e0
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path1,0x20293c40e8
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path2,0x20293c40f0
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path3,0x20293c40f8
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path_share0,0x20293c4100
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path_share1,0x20293c4108
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path_share2,0x20293c4110
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path_share3,0x20293c4118
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path_share0,0x20293c4100
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path_share1,0x20293c4108
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path_share2,0x20293c4110
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_usage_per_path_share3,0x20293c4118
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path0,0x20293c4120
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path1,0x20293c4128
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path2,0x20293c4130
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path_share0,0x20293c4140
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path_share1,0x20293c4148
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path_share2,0x20293c4150
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path_share0,0x20293c4140
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path_share1,0x20293c4148
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_usage_per_path_share2,0x20293c4150
fxp.reg_mem.evmin.evmin_fxp_regs.evmi_output_fifo_credit_status,0x20293c41a8
fxp.reg_mem.evmin.evmin_fxp_regs.pm_parser_fifo_credit,0x20293c41b0
fxp.reg_mem.evmin.evmin_fxp_regs.pm_parser_fifo_credit_usage,0x20293c41b8
fxp.reg_mem.evmin.evmin_fxp_regs.pm_parser_fifo_credit_usage,0x20293c41b8
fxp.reg_mem.evmin.evmin_fxp_regs.pm_rx_credit_share,0x20293c4218
fxp.reg_mem.evmin.evmin_fxp_regs.pm_tx_credit_share,0x20293c4220
lce.nss_lce_reg_mem.i_cpm_hi_sla_env.cpm_pf_i.cpm_csr_ti_i.tiphdrcredit,0x2025d00000
lce.nss_lce_reg_mem.i_cpm_hi_sla_env.cpm_pf_i.cpm_csr_ti_i.tipdatacredit0,0x2025d00004
lce.nss_lce_reg_mem.i_cpm_hi_sla_env.cpm_pf_i.cpm_csr_ti_i.tipdatacredit1,0x2025d00008
lce.nss_lce_reg_mem.i_cpm_hi_sla_env.cpm_pf_i.cpm_csr_ti_i.tinphdrcredit,0x2025d0000c
ecq.ecq_map.ecq_regs.ecq_icqifc_state0,0x2027800610
ecq.ecq_map.ecq_regs.ecq_icqifc_state1,0x2027800618
